aqi,aqi_level,pm10,pm25,no2,so2,co,o3,pollutant,data_time
45,优,41,31,32,9,0.8,67,,2024/3/4 0:00
43,优,41,30,37,9,0.8,56,,2024/3/4 1:00
48,优,41,33,37,10,0.9,49,,2024/3/4 2:00
48,优,39,33,37,10,0.9,44,,2024/3/4 3:00
50,优,38,35,37,10,1.0,40,,2024/3/4 4:00
45,优,38,31,36,10,1.0,39,,2024/3/4 5:00
42,优,37,29,30,9,0.9,44,,2024/3/4 6:00
35,优,34,24,26,7,0.8,51,,2024/3/4 7:00
40,优,33,28,33,8,0.9,38,,2024/3/4 8:00
43,优,34,30,34,8,1.0,32,,2024/3/4 9:00
46,优,37,32,36,7,1.0,30,,2024/3/4 10:00
48,优,39,33,40,8,1.1,26,,2024/3/4 11:00
52,良,37,36,43,8,1.2,24,PM2.5,2024/3/4 12:00
54,良,39,38,46,8,1.3,21,PM2.5,2024/3/4 13:00
54,良,40,38,46,7,1.3,20,PM2.5,2024/3/4 14:00
45,优,35,31,37,7,1.0,27,,2024/3/4 15:00
35,优,31,24,28,7,0.9,36,,2024/3/4 16:00
32,优,26,22,32,7,0.8,35,,2024/3/4 17:00
30,优,21,21,34,7,0.8,32,,2024/3/4 18:00
28,优,21,19,32,6,0.8,34,,2024/3/4 19:00
26,优,20,18,28,6,0.7,38,,2024/3/4 20:00
26,优,20,18,25,6,0.7,41,,2024/3/4 21:00
25,优,22,17,21,6,0.7,49,,2024/3/4 22:00
29,优,22,20,18,6,0.7,61,,2024/3/4 23:00
33,优,23,23,19,6,0.6,61,,2024/3/5 0:00
36,优,27,25,20,6,0.6,59,,2024/3/5 1:00
48,优,32,33,20,6,0.6,54,,2024/3/5 2:00
70,良,44,51,20,6,0.7,47,PM2.5,2024/3/5 3:00
95,良,66,71,21,6,0.7,44,PM2.5,2024/3/5 4:00
112,轻度污染,82,84,21,6,0.8,42,PM2.5,2024/3/5 5:00
122,轻度污染,98,92,23,6,0.8,37,PM2.5,2024/3/5 6:00
129,轻度污染,110,98,27,6,0.9,32,PM2.5,2024/3/5 7:00
138,轻度污染,119,105,31,6,0.9,26,PM2.5,2024/3/5 8:00
139,轻度污染,128,106,32,6,1.0,25,PM2.5,2024/3/5 9:00
138,轻度污染,129,105,32,6,0.9,23,PM2.5,2024/3/5 10:00
137,轻度污染,125,104,31,6,0.9,25,PM2.5,2024/3/5 11:00
125,轻度污染,117,95,28,6,0.9,31,PM2.5,2024/3/5 12:00
114,轻度污染,106,86,26,7,0.9,38,PM2.5,2024/3/5 13:00
107,轻度污染,94,80,26,7,0.8,44,PM2.5,2024/3/5 14:00
105,轻度污染,94,79,24,7,0.8,55,PM2.5,2024/3/5 15:00
117,轻度污染,100,88,25,7,0.8,67,PM2.5,2024/3/5 16:00
120,轻度污染,107,91,27,7,0.9,69,PM2.5,2024/3/5 17:00
117,轻度污染,108,88,28,7,0.8,67,PM2.5,2024/3/5 18:00
112,轻度污染,106,84,29,7,0.8,66,PM2.5,2024/3/5 19:00
107,轻度污染,102,80,27,7,0.7,66,PM2.5,2024/3/5 20:00
94,良,93,70,24,7,0.7,69,PM2.5,2024-03-05 21:00:00
90,良,87,67,24,6,0.7,69,PM2.5,2024-03-05 22:00:00
94,良,84,70,24,6,0.8,70,PM2.5,2024-03-05 23:00:00
117,轻度污染,94,88,23,6,0.9,70,PM2.5,2024-03-06 00:00:00
118,轻度污染,105,89,21,6,0.9,69,PM2.5,2024-03-06 01:00:00
102,轻度污染,98,76,19,6,0.8,64,PM2.5,2024-03-06 02:00:00
92,良,85,68,19,6,0.8,57,PM2.5,2024-03-06 03:00:00
97,良,83,72,19,6,0.9,54,PM2.5,2024-03-06 04:00:00
99,良,85,74,21,6,0.9,49,PM2.5,2024-03-06 05:00:00
104,轻度污染,88,78,20,6,0.9,47,PM2.5,2024-03-06 06:00:00
97,良,85,72,20,6,0.8,43,PM2.5,2024-03-06 07:00:00
97,良,83,72,22,6,0.9,38,PM2.5,2024-03-06 08:00:00
92,良,79,68,23,6,0.9,31,PM2.5,2024-03-06 09:00:00
84,良,73,62,24,6,0.9,28,PM2.5,2024-03-06 10:00:00
73,良,62,53,26,6,0.9,26,PM2.5,2024-03-06 11:00:00
62,良,51,44,24,7,0.8,32,PM2.5,2024-03-06 12:00:00
52,良,40,36,20,6,0.8,45,PM2.5,2024-03-06 13:00:00
52,良,36,36,19,7,0.8,53,PM2.5,2024-03-06 14:00:00
52,良,35,36,20,7,0.8,60,PM2.5,2024-03-06 15:00:00
54,良,36,38,24,7,0.9,62,PM2.5,2024-03-06 16:00:00
54,良,35,38,26,7,0.8,62,PM2.5,2024-03-06 17:00:00
54,良,36,38,28,7,0.8,59,PM2.5,2024-03-06 18:00:00
59,良,40,42,29,7,0.8,53,PM2.5,2024-03-06 19:00:00
69,良,46,50,28,7,0.8,45,PM2.5,2024-03-06 20:00:00
78,良,52,57,27,7,0.8,40,PM2.5,2024-03-06 21:00:00
79,良,57,58,27,7,0.8,33,PM2.5,2024-03-06 22:00:00
78,良,56,57,27,6,0.8,31,PM2.5,2024-03-06 23:00:00
74,良,55,54,26,7,0.8,30,PM2.5,2024-03-07 00:00:00
75,良,53,55,28,7,0.8,26,PM2.5,2024-03-07 01:00:00
74,良,50,54,29,7,1.0,25,PM2.5,2024-03-07 02:00:00
77,良,49,56,30,7,1.0,23,PM2.5,2024-03-07 03:00:00
79,良,52,58,29,7,0.9,23,PM2.5,2024-03-07 04:00:00
80,良,56,59,29,7,0.9,23,PM2.5,2024-03-07 05:00:00
82,良,59,60,27,7,0.8,25,PM2.5,2024-03-07 06:00:00
82,良,59,60,32,7,0.8,20,PM2.5,2024-03-07 07:00:00
80,良,60,59,31,7,0.8,24,PM2.5,2024-03-07 08:00:00
80,良,61,59,28,7,0.8,33,PM2.5,2024-03-07 09:00:00
75,良,60,55,26,8,1.0,43,PM2.5,2024-03-07 10:00:00
80,良,58,59,30,9,1.2,51,PM2.5,2024-03-07 11:00:00
65,良,54,47,24,9,1.0,75,PM2.5,2024-03-07 12:00:00
68,良,54,49,24,7,0.9,87,PM2.5,2024-03-07 13:00:00
69,良,55,50,25,7,0.8,101,PM2.5,2024-03-07 14:00:00
70,良,56,51,21,7,0.7,117,PM2.5,2024-03-07 15:00:00
69,良,56,50,20,7,0.7,126,PM2.5,2024-03-07 16:00:00
67,良,56,48,20,7,0.7,127,PM2.5,2024-03-07 17:00:00
70,良,59,51,27,7,0.7,117,PM2.5,2024-03-07 18:00:00
79,良,65,58,35,7,0.7,103,PM2.5,2024-03-07 19:00:00
102,轻度污染,80,76,59,7,0.9,61,PM2.5,2024-03-07 20:00:00
